player_name,from_team,to_team
Lino Sousa,West Brom,Arsenal
Auston Trusty,Colorado Rapids,Arsenal
Philippe Coutinho Correia,Barcelona,Aston Villa
Lucas Digne,Everton ,Aston Villa
Robin Olsen,Roma ,Aston Villa
Calum Chambers,Arsenal,Aston Villa
Jonas Lossl,Midtjylland,Brentford
Christian Eriksen,Unattached,Brentford
Hans Mpongo,Needham Market,Brentford
Deji Sotona,Nice,Brentford
Kacper Kozlowski,Pogon Szczecin,Brighton & Hove Albion
Billie Clark,Whitehawk,Brighton & Hove Albion
Deniz Undav,RU Saint-Gilloise,Brighton & Hove Albion
Benicio Baker-Boaitey,Porto,Brighton & Hove Albion
Wout Weghorst,Wolfsburg,Burnley
Killian Phillips,Drogheda United,Crystal Palace
Jean-Philippe Mateta,Mainz,Crystal Palace
Luke Plange,Derb,Crystal Palace
Vitalii Mykolenko,Dynamo Kiev,Everton
Nathan Patterson,Rangers,Everton
Anwar El Ghazi,Aston Villa ,Everton
Donny van de Beek,Man Utd ,Everton
Dele Alli,Spurs,Everton
Billy Crellin,Fleetwood Town,Everton
Mateo Joseph Fernandez,Espanyol,Leeds United
Luis Diaz,Porto,Liverpool
Julian Alvarez,River Plat,Man City
Kieran Trippier,Atletico Madrid,Newcastle United
Chris Wood,Burnley,Newcastle United
Bruno Guimaraes,Lyon,Newcastle United
Matt Targett,Aston Villa ,Newcastle United
Dan Burn,Brighto,Newcastle United
Willy Caballero,Free,Southampton
Rodrigo Bentancur,Juventus,Tottenham Hotspur
Dejan Kulusevski,Juventu,Tottenham Hotspur
Maduka Okoye,Sparta Rotterdam,Watford
Hassane Kamara,Nice,Watford
Samir,Udinese,Watford
Edo Kayembe,Eupen,Watford
Samuel Kalu,Bordeau,Watford
Hayao Kawabe,Grasshoppers,Wolverhampton Wanderers
Chiquinho,Estoril,Wolverhampton Wanderers
Jeong Sang-bin,Suwon Samsung Bluewing,Wolverhampton Wanderers
